metric_name,exactness,source,aggregation,purpose
transport.edge_rpi.deserialize.p95_ms,exact_from_csv,plain_metrics_gateway_*,p95(elapsed_ms) WHERE channel='ESP32->RPi' AND operation='deserialize',SLI de latencia de ingreso al gateway por muestra.
transport.rpi_pc.deserialize.p95_ms,exact_from_csv,plain_metrics_server_*,p95(elapsed_ms) WHERE channel='RPi->PC' AND operation='deserialize',SLI de latencia de deserializacion en servidor para actualizaciones de gateways.
transport.pc_rpi.serialize.p95_ms,exact_from_csv,plain_metrics_server_*,p95(elapsed_ms) WHERE channel='PC->RPi' AND operation='serialize',SLI de despliegue del modelo global desde el servidor.
transport.payload.avg_bytes,exact_from_csv,"plain_metrics_gateway_*, plain_metrics_server_*",avg(payload_bytes),Tamano promedio del payload transmitido sin cifrado ASCON.
training.local.accuracy.avg,exact_from_csv,model_metrics_gateway_*,avg(accuracy) WHERE stage='local_train',Calidad media del entrenamiento local por gateway.
training.local.loss.avg,exact_from_csv,model_metrics_gateway_*,avg(loss) WHERE stage='local_train',Estabilidad promedio del entrenamiento local.
training.gateway.accuracy.skew.avg,exact_from_csv,model_metrics_gateway_A/B,avg(abs(acc_gateway_A - acc_gateway_B)) por round,Desalineacion entre gateways por ronda.
training.gateway.loss.skew.avg,exact_from_csv,model_metrics_gateway_A/B,avg(abs(loss_gateway_A - loss_gateway_B)) por round,Desalineacion de optimizacion entre gateways.
round.global.accuracy.last,exact_from_csv,global_weights_history_*,last(accuracy) por intento,Resultado final del modelo global por corrida.
round.global.loss.last,exact_from_csv,global_weights_history_*,last(loss) por intento,Punto final de convergencia del modelo global.
round.duration.avg_sec,exact_from_csv,global_weights_history_*,avg(diff(time)) por intento,Duracion promedio de ronda federada.
round.weight_drift.avg,exact_from_csv,global_weights_history_*,avg(abs(delta(w3_mag))+abs(delta(w4_*))) por round,Movimiento medio de los pesos globales por ronda.
reliability.round_completion.rate,exact_from_csv_with_assumption,global_weights_history_*,observed_rounds / expected_rounds_per_attempt,Disponibilidad experimental por corrida.
reliability.gateway_participation.rate,exact_from_csv,model_metrics_gateway_*,local_train_rounds / global_rounds_observed,Tasa de participacion efectiva por gateway.
